best_bid,best_ask,spread,estimated_slippage,timestamp
87911.77,88049.67,137.89999999999418,19.06344435934858,1740483181.824018
87911.79,88049.67,137.88000000000466,19.984636122505854,1740483183.042117
87911.79,88049.67,137.88000000000466,19.98405681571196,1740483185.3195362
87911.79,88049.67,137.88000000000466,19.98544720844477,1740483186.744798
87920.59,88049.58,128.99000000000524,18.737489214214467,1740483187.9659898
87920.61,88049.58,128.97000000000116,18.83945344111829,1740483191.6627781
87920.65,88049.58,128.93000000000757,17.95017444790754,1740483195.166524
87920.65,88049.58,128.93000000000757,17.948675114085745,1740483196.6571672
87920.65,88049.58,128.93000000000757,17.948675114085745,1740483197.9305248
87920.65,88049.58,128.93000000000757,17.948675114085745,1740483199.233848
87920.65,88049.57,128.9200000000128,17.928015374818564,1740483201.3206441
87920.65,88049.57,128.9200000000128,17.928015374818564,1740483202.589498
87920.65,88049.57,128.9200000000128,17.928015374818564,1740483204.049163
87920.65,88049.57,128.9200000000128,17.928115100391995,1740483205.283218
87920.65,88026.79,106.13999999999942,14.760239968627108,1740483206.583976
87920.65,88015.4,94.75,12.038411107610054,1740483208.021875
87920.68,88015.4,94.72000000000116,13.163490214935274,1740483209.491564
87920.68,88015.36,94.68000000000757,12.600311414541673,1740483211.069392
87920.68,88014.61,93.93000000000757,13.715572350995933,1740483212.359206
87920.68,88001.32,80.64000000001397,11.761239830700857,1740483213.948936
87893.55,87993.79,100.23999999999069,14.63797872060659,1740483215.249284
87893.54,87993.79,100.25,13.94088231531286,1740483216.55867
87893.54,87993.79,100.25,13.94088231531286,1740483217.814271
87893.55,87986.13,92.58000000000175,13.51801233529602,1740483219.195174
87893.57,87986.11,92.5399999999936,13.502077691660286,1740483220.4471302
87893.54,87986.08,92.54000000000815,13.497587528662049,1740483221.687923
87893.54,87984.23,90.69000000000233,13.227752463521556,1740483222.957807
87869.87,87981.91,112.04000000000815,16.340078987744672,1740483224.189695
87869.87,87981.88,112.01000000000931,16.335703743460368,1740483225.703569
87869.87,87981.82,111.95000000001164,17.106489616920317,1740483227.038563
87824.87,87947.72,122.85000000000582,17.90143065727552,1740483228.736233
87824.87,87941.99,117.1200000000099,18.70609768953019,1740483231.6099288
87824.87,87959.11,134.24000000000524,18.63724839575903,1740483233.246156
87828.77,87970.43,141.65999999998894,22.5102969592172,1740483234.781593
87828.84,87961.92,133.08000000000175,22.584258222177265,1740483236.095716
87828.84,87960.04,131.1999999999971,20.159989182444377,1740483237.925442
87828.84,87959.88,131.04000000000815,20.13540382978456,1740483239.173152
87828.84,87944.6,115.76000000000931,18.688088442316396,1740483240.4143841
87828.88,87938.99,110.11000000000058,17.61641617683301,1740483241.650826
87828.85,87938.97,110.11999999999534,19.061664797196375,1740483242.897331
87828.86,87938.96,110.10000000000582,20.221499807152977,1740483244.609112
87828.88,87927.57,98.69000000000233,14.238762213104211,1740483245.987916
87828.88,87927.57,98.69000000000233,14.983997230640645,1740483247.534185
87828.9,87927.56,98.66000000000349,14.25281777022763,1740483248.910599
87828.9,87927.55,98.65000000000873,13.667864654196613,1740483250.348427
87828.95,87951.53,122.58000000000175,18.596169716976814,1740483251.692657
87828.98,87951.53,122.55000000000291,16.841749398067616,1740483253.963449
87829.0,87940.05,111.05000000000291,16.79232558209911,1740483255.3572469
87829.04,87935.33,106.29000000000815,18.11343519620045,1740483256.708056
87829.04,87931.97,102.93000000000757,15.564467106398409,1740483257.9981282
87829.04,87931.95,102.91000000000349,15.561442824437936,1740483259.313129
87829.04,87931.79,102.75,15.537248568758564,1740483260.8851268
87829.04,87931.96,102.9200000000128,13.51695660967789,1740483262.253719
87829.04,87931.96,102.9200000000128,13.504718516109717,1740483263.5008278
87829.04,87931.96,102.9200000000128,13.636231142864139,1740483265.9906921
87829.04,87931.96,102.9200000000128,13.513726437640537,1740483267.524139
87829.08,87948.08,119.0,17.14603523150029,1740483268.820435
87829.1,87948.08,118.97999999999593,16.45174403973362,1740483270.289781
87829.11,87948.07,118.9600000000064,19.015041319673024,1740483272.6113548
87829.12,87948.07,118.95000000001164,17.011569869715494,1740483275.163244
87829.12,87948.07,118.95000000001164,17.011569869715494,1740483276.571721
87829.12,87948.07,118.95000000001164,17.87931350651165,1740483278.0295281
87829.12,87948.07,118.95000000001164,17.879313506511654,1740483279.3450391
87829.12,87948.07,118.95000000001164,17.87931350651165,1740483280.5683331
87829.12,87948.07,118.95000000001164,17.879313506511654,1740483283.169091
87829.12,87972.0,142.88000000000466,18.775345007477636,1740483284.4847622
87829.12,87971.99,142.8700000000099,19.623059257876953,1740483285.808841
87829.12,87971.99,142.8700000000099,20.585328180879127,1740483287.31627
87829.12,87971.99,142.8700000000099,20.42201981737964,1740483288.649793
87829.12,87971.99,142.8700000000099,20.42201981737964,1740483290.190503
87829.15,87971.99,142.84000000001106,21.44925098807273,1740483292.05443
87829.15,87971.99,142.84000000001106,21.44925098807273,1740483293.512108
87831.38,87989.92,158.5399999999936,24.975267333344924,1740483295.098881
87831.4,87989.91,158.5100000000093,24.925699369428916,1740483296.452791
87831.44,87989.91,158.47000000000116,24.91745023428428,1740483297.751858
87831.48,87989.91,158.43000000000757,24.90881076661964,1740483299.3733828
87831.49,87978.57,147.08000000000175,23.129277375201564,1740483301.110632
87834.59,87978.57,143.98000000001048,22.641782407409057,1740483302.329615
87834.63,87978.57,143.94000000000233,22.63549214975882,1740483303.62626
87852.79,87989.91,137.1200000000099,23.007637891460373,1740483305.0067651
87860.68,87989.91,129.23000000001048,21.468917167825772,1740483307.499289
87892.29,87989.91,97.6200000000099,15.349877194694354,1740483309.0767438
87893.68,87989.91,96.23000000001048,15.136738719411213,1740483310.580908
87893.68,87989.91,96.23000000001048,15.136738719411213,1740483312.154861
87893.73,87989.91,96.18000000000757,15.129159417737762,1740483313.7286348
87893.73,87989.91,96.18000000000757,15.129159417737762,1740483315.299922
87893.78,87989.91,96.13000000000466,15.128338290607093,1740483317.044158
87900.43,87989.91,89.48000000001048,14.092980914312921,1740483318.447057
87900.45,87989.91,89.4600000000064,14.06705516436824,1740483319.705722
87900.75,87989.91,89.16000000000349,14.024954225419124,1740483322.000181
87925.2,88014.99,89.79000000000815,13.413664937735758,1740483323.883723
87931.09,88014.99,83.90000000000873,12.68019018774068,1740483325.132065
87931.09,88014.99,83.90000000000873,12.679883568746236,1740483326.471248
87931.09,88014.99,83.90000000000873,12.679883568746236,1740483327.711081
87931.12,88014.99,83.8700000000099,12.675349641367838,1740483330.230814
87931.13,88014.99,83.86000000000058,12.667061410928865,1740483332.649974
87935.71,88014.99,79.27999999999884,11.446887769098431,1740483334.754184
87935.73,88014.99,79.26000000000931,11.383449618973179,1740483336.038285
87935.76,88014.99,79.23000000001048,11.379435150291055,1740483337.8941498
87935.76,88014.99,79.23000000001048,11.379173656273764,1740483339.182679
87935.76,88014.99,79.23000000001048,11.38401324183743,1740483340.615694
87935.76,88014.99,79.23000000001048,11.557986870898684,1740483342.288169
87935.76,88014.99,79.23000000001048,11.557986870898684,1740483343.6739168
87935.76,88014.99,79.23000000001048,10.938535453944455,1740483344.962738
87935.76,88047.22,111.4600000000064,15.501482557008403,1740483346.206833
87935.76,88047.21,111.45000000001164,14.821385350701192,1740483347.7435389
87935.76,88047.21,111.45000000001164,15.500091790585572,1740483348.990473
87935.76,88032.87,97.11000000000058,13.50610841603996,1740483350.230318
87935.76,88032.88,97.1200000000099,12.916027204516604,1740483351.75854
87935.76,88032.88,97.1200000000099,12.916027204516604,1740483353.540737
87935.76,88032.06,96.30000000000291,13.393453202190088,1740483354.838206
87935.76,88032.11,96.35000000000582,12.813624600032158,1740483356.1847181
87935.76,88047.01,111.25,15.47270684053585,1740483357.406971
87935.76,88037.39,101.63000000000466,14.134359162647998,1740483358.627837
87935.76,88037.4,101.63999999999942,13.516784271378224,1740483359.868137
87935.76,88037.39,101.63000000000466,13.515454402796534,1740483362.3330529
87935.76,88037.4,101.63999999999942,15.554555721854335,1740483363.66154
87935.79,88059.8,124.01000000000931,17.27644824867293,1740483365.971453
